"ID","Perioden","TotaalArbeidsongeschiktheidsuitkeringen_1","WAOUitkeringen_2","WajongUitkeringen_3","WAZUitkeringen_4","TotaalWIAUitkeringen_5","IVAUitkeringen_6","WGAUitkeringen_7","NietSeizoengecorrigeerd_8","Seizoengecorrigeerd_9","IOWUitkeringen_10","TotaalBijstandsuitkeringen_11","BijstandsuitkeringenTotDeAOWLeeftijd_12","BijstandsuitkeringenVanafAOWLeeftijd_13","IOAWUitkeringen_14","IOAZUitkeringen_15","AOWUitkeringen_16","AnwUitkeringen_17","AKWUitkeringen_18"
"145","2009MM03","   835.9","   551.4","   181.2","    37.6","    65.6","    15.5","    50.0","   197.8","   191.9","","   297.3","   263.1","    34.2","     6.9","     1.5","  2749.0","   113.3","  1935.1"
"146","2009MM04","   834.8","   548.2","   182.0","    37.3","    67.2","    16.0","    51.2","   205.1","   201.7","","   299.8","   265.4","    34.4","     7.0","     1.5","  2755.8","   112.6",""
"147","2009MM05","   833.5","   545.0","   183.1","    36.9","    68.5","    16.3","    52.2","   210.7","   210.6","","   301.8","   267.3","    34.5","     7.1","     1.5","  2763.1","   111.9",""
"148","2009MM06","   832.6","   541.9","   184.2","    36.6","    70.0","    16.6","    53.3","   220.2","   221.6","","   304.7","   270.1","    34.6","     7.3","     1.5","  2768.4","   111.2","  1938.6"
"149","2009MM07","   832.4","   538.8","   185.5","    36.2","    71.8","    17.2","    54.7","   229.7","   232.2","","   307.9","   272.8","    35.1","     7.5","     1.5","  2778.2","   110.4",""
"150","2009MM08","   832.0","   535.9","   186.7","    35.9","    73.4","    17.6","    55.8","   237.1","   240.4","","   309.6","   274.4","    35.2","     7.6","     1.5","  2785.8","   109.5",""
"151","2009MM09","   831.5","   532.6","   187.8","    35.6","    75.5","    18.1","    57.3","   241.6","   248.4","","   310.2","   274.9","    35.3","     7.7","     1.4","  2793.6","   108.7","  1942.8"
"152","2009MM10","   832.8","   529.8","   189.2","    35.3","    78.6","    18.9","    59.6","   250.4","   258.5","","   311.8","   276.3","    35.5","     7.8","     1.4","  2800.2","   108.2",""
"153","2009MM11","   834.0","   527.5","   190.6","    35.0","    80.9","    19.6","    61.3","   258.6","   265.0","","   313.6","   278.0","    35.6","     8.0","     1.4","  2805.3","   107.5",""
"154","2009MM12","   834.1","   524.9","   191.7","    34.7","    82.8","    20.1","    62.8","   269.9","   271.7","     0.0","   316.6","   280.8","    35.8","     8.2","     1.4","  2812.9","   106.5","  1932.7"
"155","2009JJ00","   834.1","   542.2","   184.6","    36.6","    70.7","    16.9","    53.8","   220.4","       .","","   304.0","   269.3","    34.7","     7.3","     1.5","  2771.1","   111.1","  1936.9"
"156","2010MM01","   831.5","   518.8","   193.4","    33.8","    85.5","    20.8","    64.7","   283.2","   273.9","     0.1","   320.1","   284.2","    35.9","     8.3","     1.5","  2817.5","   106.1",""
"157","2010MM02","   831.0","   515.4","   194.4","    33.5","    87.7","    21.5","    66.2","   289.6","   277.8","     0.1","   324.1","   287.9","    36.2","     8.5","     1.5","  2823.0","   105.4",""
"158","2010MM03","   830.0","   512.0","   195.1","    33.1","    89.8","    22.2","    67.6","   281.8","   273.4","     0.2","   328.6","   292.1","    36.5","     8.7","     1.4","  2831.4","   104.6","  1938.4"
"159","2010MM04","   828.4","   507.7","   195.8","    32.7","    92.1","    22.8","    69.3","   274.7","   270.9","     0.2","   332.6","   295.8","    36.7","     8.8","     1.5","  2839.6","   103.8",""
"160","2010MM05","   828.1","   504.8","   196.9","    32.4","    94.0","    23.3","    70.7","   267.6","   268.3","     0.2","   334.8","   297.8","    37.0","     8.9","     1.5","  2847.3","   102.9",""
"161","2010MM06","   827.6","   501.7","   198.1","    32.0","    95.9","    23.9","    71.9","   261.4","   264.7","     0.2","   337.4","   300.2","    37.2","     9.0","     1.4","  2852.2","   102.4","  1940.9"
"162","2010MM07","   828.2","   498.8","   199.5","    31.7","    98.2","    24.7","    73.5","   260.5","   264.1","     0.3","   339.3","   301.7","    37.6","     9.2","     1.5","  2859.5","   101.7",""
"163","2010MM08","   828.2","   496.2","   200.2","    31.4","   100.3","    25.3","    75.0","   260.7","   264.5","     0.3","   340.2","   302.4","    37.8","     9.3","     1.5","  2866.0","   100.9",""
"164","2010MM09","   828.7","   493.9","   201.0","    31.2","   102.6","    25.9","    76.7","   254.2","   262.2","     0.3","   339.5","   301.7","    37.8","     9.4","     1.4","  2870.5","   100.4","  1941.7"
"165","2010MM10","   830.5","   491.7","   202.4","    30.9","   105.5","    26.8","    78.8","   250.5","   258.6","     0.3","   340.6","   302.6","    38.0","     9.5","     1.4","  2874.4","    99.9",""
"166","2010MM11","   831.0","   488.9","   203.7","    30.7","   107.8","    27.4","    80.4","   253.4","   259.4","     0.4","   342.4","   304.2","    38.1","     9.5","     1.4","  2877.3","    99.3",""
"167","2010MM12","   831.9","   486.3","   205.1","    30.4","   110.1","    28.2","    81.9","   263.7","   262.7","     0.4","   345.2","   307.0","    38.3","     9.6","     1.4","  2881.3","    98.4","  1932.1"
"168","2010JJ00","   829.7","   503.0","   198.2","    32.2","    96.3","    24.1","    72.3","   267.0","       .","     0.2","   334.2","   297.1","    37.2","     9.0","     1.4","  2850.5","   102.5","  1938.3"
"169","2011MM01","   832.2","   483.2","   206.3","    30.1","   112.7","    28.9","    83.8","   276.2","   264.9","     0.4","   350.9","   312.4","    38.5","     9.7","     1.5","  2885.7","    98.0",""
"170","2011MM02","   831.9","   479.7","   207.3","    29.7","   115.2","    29.6","    85.6","   273.8","   260.5","     0.4","   353.6","   314.9","    38.7","     9.8","     1.5","  2893.2","    97.5",""
"171","2011MM03","   830.6","   475.8","   208.2","    29.2","   117.3","    30.3","    87.0","   265.9","   256.4","     0.5","   356.2","   317.2","    38.9","     9.8","     1.5","  2907.2","    96.5","  1938.4"
"172","2011MM04","   829.7","   472.1","   209.2","    28.8","   119.7","    31.0","    88.7","   258.4","   254.7","     0.5","   356.7","   317.6","    39.1","     9.8","     1.4","  2920.9","    95.4",""
"173","2011MM05","   828.8","   468.1","   210.1","    28.4","   122.2","    31.7","    90.5","   253.5","   254.8","     0.5","   356.8","   317.5","    39.3","     9.8","     1.4","  2934.7","    94.1",""
"174","2011MM06","   826.7","   463.9","   210.9","    28.0","   123.9","    32.2","    91.7","   250.7","   255.3","     0.6","   356.4","   316.9","    39.5","     9.7","     1.4","  2947.0","    93.0","  1941.8"
"175","2011MM07","   825.8","   460.0","   212.0","    27.6","   126.2","    32.8","    93.4","   252.8","   256.8","     0.6","   356.1","   316.1","    40.0","     9.7","     1.4","  2962.6","    91.8",""
"176","2011MM08","   825.4","   456.7","   212.9","    27.3","   128.6","    33.4","    95.2","   255.3","   258.7","     0.6","   355.1","   315.0","    40.1","     9.7","     1.4","  2974.9","    90.8",""
"177","2011MM09","   825.0","   453.3","   213.7","    26.9","   131.1","    34.0","    97.1","   251.2","   259.8","     0.6","   354.5","   314.3","    40.2","     9.8","     1.4","  2986.1","    89.8","  1944.1"
"178","2011MM10","   825.6","   450.3","   214.7","    26.6","   133.9","    34.7","    99.2","   252.5","   261.7","     0.6","   355.0","   314.6","    40.3","     9.7","     1.4","  2997.4","    88.9",""
"179","2011MM11","   824.6","   447.2","   215.3","    26.3","   135.8","    35.3","   100.5","   257.8","   264.7","     0.6","   356.7","   316.3","    40.4","     9.8","     1.4","  3006.3","    88.0",""
"180","2011MM12","   824.5","   443.9","   216.2","    26.0","   138.3","    36.0","   102.4","   269.9","   269.1","     0.7","   359.1","   318.6","    40.5","     9.8","     1.4","  3017.0","    86.7","  1933.9"
"181","2011JJ00","   827.9","   464.6","   210.9","    28.1","   124.2","    32.2","    92.1","   259.6","       .","     0.5","   355.0","   315.5","    39.5","     9.7","     1.4","  2947.1","    93.0","  1939.3"
"182","2012MM01","   822.6","   438.9","   217.2","    25.5","   141.0","    36.7","   104.3","   291.6","   279.0","     0.7","   358.0","   318.5","    39.5","     9.9","     1.4","  3026.2","    86.0",""
"183","2012MM02","   822.0","   435.5","   218.1","    25.2","   143.2","    37.4","   105.9","   298.9","   283.4","     0.7","   359.0","   319.4","    39.6","    10.0","     1.4","  3034.1","    85.2",""
"184","2012MM03","   821.2","   432.1","   219.0","    24.9","   145.2","    38.0","   107.3","   295.6","   285.5","     0.8","   359.2","   319.5","    39.7","    10.0","     1.4","  3044.9","    84.2","  1937.1"
"185","2012MM04","   820.4","   428.5","   222.0","    24.5","   147.3","    38.7","   108.6","   292.1","   288.2","     0.8","   359.5","   319.8","    39.8","    10.2","     1.4","  3054.5","    83.3",""
"186","2012MM05","   819.4","   425.3","   220.9","    24.2","   149.0","    39.3","   109.7","   290.9","   292.1","     0.8","   360.5","   320.7","    39.8","    10.3","     1.4","  3066.7","    82.2",""
"187","2012MM06","   819.7","   425.1","   221.0","    24.2","   149.4","    39.5","   109.9","   290.6","   295.6","     0.9","   361.0","   321.3","    39.8","    10.4","     1.4","  3075.6","    81.1","  1938.6"
"188","2012MM07","   818.2","   421.3","   221.9","    23.9","   151.0","    40.0","   111.0","   298.0","   302.4","     0.9","   361.6","   321.5","    40.0","    10.5","     1.4","  3087.7","    80.0",""
"189","2012MM08","   817.7","   418.1","   223.0","    23.6","   153.0","    40.6","   112.4","   304.0","   308.5","     0.9","   361.8","   322.1","    39.7","    10.6","     1.4","  3098.5","    79.1",""
"190","2012MM09","   817.5","   415.1","   223.8","    23.3","   155.2","    41.2","   114.1","   304.3","   314.1","     1.0","   362.3","   322.7","    39.6","    10.8","     1.4","  3107.7","    78.2","  1938.9"
"191","2012MM10","   817.7","   412.1","   224.9","    23.0","   157.8","    41.8","   115.9","   309.8","   319.8","     1.1","   364.1","   324.3","    39.8","    11.0","     1.4","  3117.3","    77.2",""
"192","2012MM11","   817.5","   409.1","   225.7","    22.8","   160.0","    42.5","   117.5","   322.3","   329.7","     1.2","   367.2","   327.2","    40.0","    11.2","     1.4","  3125.4","    76.4",""
"193","2012MM12","   816.9","   406.2","   226.5","    22.5","   161.7","    42.9","   118.8","   340.2","   339.7","     1.2","   370.2","   330.2","    40.0","    11.4","     1.4","  3135.9","    75.0","  1928.2"
"194","2012JJ00","   819.6","   423.8","   221.6","    24.1","   150.2","    39.6","   110.6","   300.3","       .","     0.9","   361.6","   321.8","    39.8","    10.5","     1.4","  3076.2","    81.2","  1936.4"
"195","2013MM01","   820.3","   405.6","   227.7","    22.5","   164.6","    43.8","   120.7","   369.3","   353.9","     1.2","   374.4","   335.6","    38.8","    11.7","     1.5","  3124.0","    75.2",""
"196","2013MM02","   819.7","   402.4","   228.6","    22.2","   166.6","    44.4","   122.2","   376.7","   360.0","     1.4","   378.7","   339.6","    39.0","    11.9","     1.5","  3131.4","    74.3",""
"197","2013MM03","   819.4","   399.3","   229.5","    21.9","   168.7","    45.1","   123.6","   379.7","   368.5","     1.4","   382.2","   343.4","    38.8","    12.2","     1.5","  3139.1","    73.3","  1931.5"
"198","2013MM04","   818.6","   396.0","   230.4","    21.6","   170.6","    45.8","   124.8","   379.5","   375.8","     1.5","   385.7","   346.8","    38.9","    12.4","     1.5","  3147.5","    72.5",""
"199","2013MM05","   818.2","   392.9","   231.4","    21.4","   172.5","    46.5","   126.1","   377.8","   380.5","     1.5","   388.1","   348.9","    39.1","    12.6","     1.5","  3157.2","    71.6",""
"200","2013MM06","   817.6","   389.8","   232.6","    21.1","   174.1","    47.1","   127.1","   381.6","   387.9","     1.5","   388.7","   349.6","    39.1","    12.8","     1.5","  3166.5","    70.7","  1932.4"
"201","2013MM07","   817.3","   386.9","   233.7","    20.8","   175.9","    47.8","   128.2","   394.6","   399.8","     1.6","   389.9","   350.7","    39.2","    13.0","     1.5","  3175.9","    69.6",""
"202","2013MM08","   816.7","   383.6","   234.7","    20.5","   177.8","    48.3","   129.5","   399.3","   404.4","     1.8","   389.4","   350.2","    39.3","    13.3","     1.5","  3187.5","    68.4",""
"203","2013MM09","   817.0","   380.9","   235.7","    20.3","   180.2","    49.0","   131.1","   400.4","   411.0","     1.8","   389.6","   350.4","    39.3","    13.4","     1.6","  3197.1","    67.4","  1932.7"
"204","2013MM10","   817.6","   378.1","   236.9","    20.0","   182.5","    49.8","   132.7","   408.2","   419.0","     1.9","   392.1","   352.4","    39.7","    13.6","     1.6","  3206.0","    57.2",""
"205","2013MM11","   817.8","   375.5","   237.9","    19.8","   184.6","    50.9","   133.7","   419.1","   426.2","     1.9","   395.1","   355.2","    39.9","    13.8","     1.5","  3214.5","    56.3",""
"206","2013MM12","   817.8","   373.1","   238.7","    19.6","   186.4","    51.5","   134.9","   437.7","   436.2","     1.9","   398.8","   358.8","    40.0","    14.1","     1.6","  3222.6","    55.2","  1919.4"
"207","2013JJ00","   818.1","   390.1","   232.6","    21.1","   174.4","    47.1","   127.2","   389.6","       .","     1.6","   386.5","   347.3","    39.3","    12.8","     1.5","  3168.8","    68.5","  1930.1"
"208","2014MM01","   820.9","   372.6","   239.9","    19.5","   188.9","    52.7","   136.1","   460.5","   445.8","     2.0","   403.0","   363.2","    39.8","    14.4","     1.6","  3212.1","    52.3",""
"209","2014MM02","   820.7","   370.0","   240.7","    19.3","   190.7","    53.5","   137.2","   460.1","   442.2","     2.3","   406.6","   366.5","    40.0","    14.7","     1.6","  3218.9","    51.4",""
"210","2014MM03","   820.6","   367.0","   241.8","    19.1","   192.8","    54.4","   138.4","   453.8","   441.7","     2.3","   409.8","   369.5","    40.3","    15.1","     1.7","  3228.4","    50.4","  1921.5"
"211","2014MM04","   820.8","   364.5","   242.6","    18.9","   194.8","    55.4","   139.4","   443.3","   439.3","     2.4","   412.7","   372.2","    40.4","    15.3","     1.7","  3235.9","    49.5",""
"212","2014MM05","   820.4","   361.6","   243.7","    18.6","   196.4","    56.1","   140.3","   435.5","   438.4","     2.4","   414.0","   373.5","    40.5","    15.5","     1.7","  3246.3","    48.5",""
"213","2014MM06","   820.2","   358.9","   244.7","    18.4","   198.2","    56.9","   141.3","   430.6","   437.3","     2.4","   414.2","   373.7","    40.6","    15.8","     1.7","  3255.1","    47.7","  1923.8"
"214","2014MM07","   819.8","   356.1","   245.6","    18.2","   199.9","    57.7","   142.2","   437.0","   440.4","     2.5","   414.8","   374.2","    40.6","    15.9","     1.7","  3264.4","    46.9",""
"215","2014MM08","   819.6","   353.5","   246.5","    17.9","   201.6","    58.3","   143.3","   430.4","   436.4","     2.6","   413.0","   372.5","    40.5","    16.1","     1.6","  3272.8","    46.0",""
"216","2014MM09","   819.6","   350.6","   247.5","    17.7","   203.8","    59.0","   144.7","   419.9","   431.7","     2.6","   411.4","   371.3","    40.2","    16.4","     1.6","  3281.4","    44.9","  1926.1"
"217","2014MM10","   819.8","   347.8","   248.5","    17.5","   206.0","    59.9","   146.0","   419.4","   432.1","     2.6","   412.9","   372.5","    40.4","    16.6","     1.7","  3290.7","    44.1",""
"218","2014MM11","   819.9","   345.3","   249.4","    17.3","   207.9","    60.8","   147.1","   425.2","   433.5","     2.7","   415.3","   374.8","    40.5","    16.9","     1.7","  3297.7","    43.2",""
"219","2014MM12","   820.3","   343.0","   250.6","    17.2","   209.6","    61.4","   148.2","   440.8","   437.7","     2.8","   417.5","   376.8","    40.7","    17.2","     1.7","  3303.8","    41.6","  1915.1"
"220","2014JJ00","   820.1","   358.8","   244.6","    18.4","   198.2","    56.8","   141.5","   437.9","       .","     2.4","   411.3","   371.0","    40.3","    15.7","     1.6","  3255.6","    47.8","  1922.2"
"221","2015MM01","   822.9","   342.6","   251.0","    17.1","   212.1","    62.7","   149.4","   457.6","   442.5","     2.9","   419.4","   378.7","    40.7","    17.6","     1.7","  3291.7","    41.7",""
"222","2015MM02","   821.9","   340.2","   251.0","    17.0","   213.8","    63.7","   150.1","   455.1","   436.6","     3.1","   421.9","   381.0","    40.8","    17.9","     1.7","  3295.2","    40.9",""
"223","2015MM03","   820.8","   337.7","   250.8","    16.8","   215.6","    64.8","   150.8","   443.1","   430.5","     3.3","   424.5","   383.6","    40.8","    18.3","     1.7","  3300.6","    40.0","  1919.1"
"224","2015MM04","   819.2","   335.0","   250.5","    16.6","   217.1","    65.7","   151.4","   426.9","   422.9","     3.4","   426.1","   384.9","    41.1","    18.5","     1.7","  3308.4","    39.7",""
"225","2015MM05","   817.7","   332.5","   250.3","    16.4","   218.4","    66.4","   152.0","   416.3","   420.2","     3.4","   426.5","   385.1","    41.3","    18.8","     1.7","  3315.4","    39.4",""
"226","2015MM06","   816.1","   329.9","   250.1","    16.2","   219.8","    67.4","   152.5","   410.2","   418.2","     3.4","   425.2","   383.7","    41.5","    19.0","     1.7","  3323.8","    39.0","  1920.4"
"227","2015MM07","   814.5","   327.5","   250.0","    16.0","   221.1","    68.4","   152.7","   420.3","   424.4","     3.5","   422.2","   382.9","    39.3","    19.2","     1.7","  3332.7","    38.7",""
"228","2015MM08","   812.9","   324.8","   249.7","    15.8","   222.5","    69.1","   153.5","   419.6","   426.9","     3.5","   420.3","   381.0","    39.3","    19.5","     1.7","  3341.3","    38.3",""
"229","2015MM09","   811.8","   322.4","   249.5","    15.6","   224.3","    69.9","   154.4","   416.5","   428.9","     3.4","   420.4","   381.0","    39.4","    19.7","     1.7","  3348.6","    37.9","  1919.5"
"230","2015MM10","   810.7","   319.6","   249.2","    15.4","   226.4","    70.8","   155.6","   421.0","   434.1","     3.5","   422.1","   381.7","    40.4","    20.0","     1.7","  3357.1","    37.5",""
"231","2015MM11","   809.9","   317.3","   249.0","    15.3","   228.3","    71.6","   156.7","   427.4","   434.9","     3.6","   424.7","   383.8","    40.7","    20.2","     1.7","  3364.5","    37.1",""
"232","2015MM12","   808.6","   315.1","   248.8","    15.1","   229.6","    72.1","   157.5","   445.9","   439.7","     3.7","   428.2","   387.0","    41.1","    20.5","     1.7","  3371.3","    36.1","  1908.9"
"233","2015JJ00","   816.1","   329.9","   250.1","    16.2","   219.9","    67.3","   152.7","   429.8","       .","     3.3","   423.0","   382.4","    40.5","    18.9","     1.7","  3326.4","    39.1","  1917.7"
"234","2016MM01","   810.3","   314.2","   248.7","    15.1","   232.3","    73.6","   158.7","   465.4","       .","     3.7","   431.2","   390.1","    41.2","    21.0","     1.8","  3360.4","    37.0",""
"235","2016MM02","   812.6","   313.8","   248.6","    15.1","   235.0","    74.8","   160.3","   469.9","       .","     3.9","   433.7","   392.7","    40.9","    21.5","     1.8","  3347.9","    37.0",""
"236","2016MM03","   814.7","   313.5","   248.5","    15.0","   237.7","    76.0","   161.6","   470.2","       .","     4.4","   436.0","   395.1","    40.9","    22.0","     1.8","  3336.6","    37.1","  1913.0"
"237","2016MM04","   813.8","   311.3","   248.3","    14.9","   239.3","    76.9","   162.4","   460.5","       .","     4.5","   437.1","   396.0","    41.1","    22.2","     1.8","  3342.4","    36.7",""
"238","2016MM05","   813.1","   309.2","   248.2","    14.7","   241.0","    77.6","   163.4","   447.9","       .","     4.5","   438.1","   396.8","    41.3","    22.4","     1.8","  3347.3","    36.5",""
"239","2016MM06","   812.3","   307.0","   248.0","    14.6","   242.7","    78.6","   164.1","   438.5","       .","     4.5","   437.9","   396.5","    41.4","    22.4","     1.8","  3353.9","    36.1","  1913.7"
"240","2016MM07","   810.9","   304.5","   247.9","    14.4","   244.1","    79.4","   164.7","   431.6","       .","     4.5","   438.1","   396.6","    41.5","    22.5","     1.8","  3361.7","    36.0",""
"241","2016MM08","   810.4","   302.3","   247.9","    14.2","   246.0","    80.5","   165.5","   426.6","       .","     4.5","   436.9","   395.2","    41.7","    22.6","     1.8","  3368.3","    35.7",""
"242","2016MM09","   809.8","   299.8","   247.8","    14.1","   248.1","    81.5","   166.7","   424.3","       .","     4.6","   436.7","   394.8","    41.9","    22.8","     1.8","  3376.1","    35.3","  1914.1"
"243","2016MM10","   809.2","   297.6","   247.6","    13.9","   250.2","    82.7","   167.5","   419.6","       .","     4.6","   437.7","   395.4","    42.2","    22.9","     1.8","  3383.7","    35.0",""
"244","2016MM11","   808.3","   295.1","   247.3","    13.7","   252.2","    84.2","   167.9","   409.5","       .","     4.7","   439.9","   397.2","    42.6","    23.1","     1.8","  3391.1","    34.7",""
"245","2016MM12","   806.9","   293.0","   247.1","    13.5","   253.3","    85.1","   168.2","   412.0","       .","     5.0","   442.4","   399.5","    42.8","    23.3","     1.8","  3397.6","    33.8","  1901.3"
"246","2016JJ00","   811.1","   306.0","   248.1","    14.5","   242.5","    78.7","   163.8","   441.1","       .","     4.4","   436.5","   395.0","    41.6","    22.3","     1.8","  3362.8","    36.0","  1910.8"
"247","2017MM01","   809.1","   292.5","   247.0","    13.5","   256.1","    87.1","   169.0","   418.7","       .","     5.0","   444.0","   401.2","    42.8","    23.6","     1.8","  3384.4","    34.5",""
"248","2017MM02","   811.1","   292.2","   246.9","    13.5","   258.5","    88.6","   169.9","   415.8","       .","     5.3","   446.1","   403.3","    42.8","    23.9","     1.9","  3370.1","    34.6",""
"249","2017MM03","   813.6","   291.8","   246.9","    13.5","   261.4","    90.4","   170.9","   414.8","       .","     5.9","   447.5","   404.8","    42.7","    24.1","     1.9","  3358.3","    34.7","  1904.3"
"250","2017MM04","   812.3","   289.6","   246.7","    13.3","   262.7","    91.2","   171.4","   401.5","       .","     6.2","   447.0","   403.8","    43.1","    24.1","     1.9","  3366.8","    34.3",""
"251","2017MM05","   811.4","   287.3","   246.6","    13.1","   264.3","    92.2","   172.1","   385.6","       .","     6.1","   445.3","   402.0","    43.3","    24.1","     1.9","  3372.3","    34.1",""
"252","2017MM06","   810.8","   285.2","   246.4","    13.0","   266.2","    93.1","   173.0","   372.2","       .","     6.2","   444.1","   400.5","    43.6","    24.1","     1.9","  3378.9","    33.8","  1906.9"
"253","2017MM07","   809.9","   283.2","   246.5","    12.8","   267.3","    93.9","   173.4","   364.4","       .","     6.2","   442.5","   398.7","    43.7","    24.1","     1.9","  3386.3","    33.4",""
"254","2017MM08","   810.0","   281.3","   246.6","    12.7","   269.4","    94.9","   174.5","   362.1","       .","     6.2","   439.1","   395.3","    43.8","    24.1","     1.9","  3391.5","    33.2",""
"255","2017MM09","   809.5","   279.3","   246.5","    12.5","   271.3","    95.7","   175.6","   350.8","       .","     6.2","   436.1","   392.3","    43.9","    23.9","     1.9","  3398.6","    32.9","  1906.7"
"256","2017MM10","   809.0","   276.9","   246.2","    12.4","   273.5","    96.8","   176.7","   343.1","       .","     6.1","   434.6","   390.2","    44.4","    23.8","     1.9","  3405.9","    32.6",""
"257","2017MM11","   808.7","   274.7","   246.0","    12.2","   275.8","    97.9","   177.9","   336.9","       .","     6.1","   434.4","   389.7","    44.7","    23.8","     1.9","  3413.7","    32.3",""
"258","2017MM12","   807.5","   272.6","   245.8","    12.1","   277.0","    98.3","   178.7","   330.0","       .","     6.0","   434.5","   389.5","    44.9","    23.8","     1.8","  3422.1","    31.4","  1893.6"
"259","2017JJ00","   810.2","   284.7","   246.6","    12.9","   266.0","    92.8","   173.2","   378.1","       .","     5.9","   441.6","   398.0","    43.6","    24.0","     1.9","  3386.4","    33.6","  1903.8"
"260","2018MM01","       .","       .","       .","       .","       .","       .","       .","   334.8","       .","     5.9","   434.2","   389.2","    44.9","    23.9","     1.9","  3408.0","    32.0",""
"261","2018MM02","       .","       .","       .","       .","       .","       .","       .","   329.6","       .","     6.2","   433.6","   388.7","    44.9","    24.0","     1.9","  3395.7","    32.0",""
"262","2018MM03","       .","       .","       .","       .","       .","       .","       .","   327.1","       .","     6.7","   432.7","   387.9","    44.8","    24.2","     1.9","  3380.3","    32.1","  1898.6"
"263","2018MM04","       .","       .","       .","       .","       .","       .","       .","   314.3","       .","     7.0","   430.6","   385.7","    44.9","    24.0","     1.9","  3386.0","    31.8",""
"264","2018MM05","       .","       .","       .","       .","       .","       .","       .","   300.9","       .","     7.0","   428.8","   383.6","    45.1","    23.9","     1.9","  3393.2","    31.6",""
"265","2018MM06","       .","       .","       .","       .","       .","       .","       .","   287.9","       .","     6.9","   426.3","   381.0","    45.3","    23.7","     1.9","  3400.1","    31.4","       ."
"266","2018MM07","       .","       .","       .","       .","       .","       .","       .","   279.4","       .","     6.9","   424.4","   378.5","    45.9","    23.4","     1.9","  3409.2","    31.0",""
"267","2018MM08","       .","       .","       .","       .","       .","       .","       .","   278.1","       .","     6.9","   422.0","   376.0","    46.0","    23.4","     1.9","  3417.6","    30.8",""
"268","2018MM09","       .","       .","       .","       .","       .","       .","       .","   273.5","       .","     6.9","   418.0","   372.0","    46.0","    23.2","     1.8","  3425.2","    30.6","       ."
"269","2018MM10","       .","       .","       .","       .","       .","       .","       .","   269.0","       .","     6.8","   416.0","   369.0","    46.5","    23.0","     1.8","  3431.5","    30.4",""
"270","2018MM11","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","  3437.2","    30.1",""
